Funcao,Tamanho,Segundos,Nano Segundos
inverter, 10, 0, 000000094
inverter, 100, 0, 000000579
inverter, 1000, 0, 000009094
inverter, 5000, 0, 000041013
Busca_Sequencial, 10, 0, 000000044
Busca_Sequencial, 100, 0, 000000046
Busca_Sequencial, 1000, 0, 000000057
Busca_Sequencial, 5000, 0, 000000064
Busca Binaria Recursiva, 10, 0, 000000070
Busca Binaria Recursiva, 100, 0, 000000108
Busca Binaria Recursiva, 1000, 0, 000000111
Busca Binaria Recursiva, 5000, 0, 000000135
Busca Binaria Iterativa, 10, 0, 000000059
Busca Binaria Iterativa, 100, 0, 000000100
Busca Binaria Iterativa, 1000, 0, 000000102
Busca Binaria Iterativa, 5000, 0, 000000110
