Funcao,Tamanho,Segundos,Nano Segundos
inverter, 10, 0, 000000045
inverter, 100, 0, 000000087
inverter, 1000, 0, 000000666
inverter, 5000, 0, 000003183
Busca_Sequencial, 10, 0, 000000040
Busca_Sequencial, 100, 0, 000000040
Busca_Sequencial, 1000, 0, 000000040
Busca_Sequencial, 5000, 0, 000000041
Busca Binaria Recursiva, 10, 0, 000000048
Busca Binaria Recursiva, 100, 0, 000000057
Busca Binaria Recursiva, 1000, 0, 000000068
Busca Binaria Recursiva, 5000, 0, 000000078
Busca Binaria Iterativa, 10, 0, 000000047
Busca Binaria Iterativa, 100, 0, 000000057
Busca Binaria Iterativa, 1000, 0, 000000068
Busca Binaria Iterativa, 5000, 0, 000000078
