Funcao,Tamanho,Segundos,Nano Segundos
inverter, 10, 0, 000000084
inverter, 100, 0, 000000506
inverter, 1000, 0, 000005199
inverter, 5000, 0, 000031159
Busca_Sequencial, 10, 0, 000000015
Busca_Sequencial, 100, 0, 000000016
Busca_Sequencial, 1000, 0, 000000020
Busca_Sequencial, 5000, 0, 000000023
Busca Binaria Recursiva, 10, 0, 000000026
Busca Binaria Recursiva, 100, 0, 000000039
Busca Binaria Recursiva, 1000, 0, 000000045
Busca Binaria Recursiva, 5000, 0, 000000039
Busca Binaria Iterativa, 10, 0, 000000020
Busca Binaria Iterativa, 100, 0, 000000040
Busca Binaria Iterativa, 1000, 0, 000000045
Busca Binaria Iterativa, 5000, 0, 000000045
