Funcao,Tamanho,Segundos,Nano Segundos
inverter, 10, 0, 000000076
inverter, 100, 0, 000000470
inverter, 1000, 0, 000008160
inverter, 5000, 0, 000055875
Busca_Sequencial, 10, 0, 000000036
Busca_Sequencial, 100, 0, 000000037
Busca_Sequencial, 1000, 0, 000000037
Busca_Sequencial, 5000, 0, 000000046
Busca Binaria Recursiva, 10, 0, 000000048
Busca Binaria Recursiva, 100, 0, 000000059
Busca Binaria Recursiva, 1000, 0, 000000069
Busca Binaria Recursiva, 5000, 0, 000000105
Busca Binaria Iterativa, 10, 0, 000000056
Busca Binaria Iterativa, 100, 0, 000000096
Busca Binaria Iterativa, 1000, 0, 000000123
Busca Binaria Iterativa, 5000, 0, 000000092
