Funcao,Tamanho,Segundos,Nano Segundos
inverter, 10, 0, 000000075
inverter, 100, 0, 000000543
inverter, 1000, 0, 000005398
inverter, 5000, 0, 000039579
Busca_Sequencial, 10, 0, 000000042
Busca_Sequencial, 100, 0, 000000043
Busca_Sequencial, 1000, 0, 000000054
Busca_Sequencial, 5000, 0, 000000064
Busca Binaria Recursiva, 10, 0, 000000059
Busca Binaria Recursiva, 100, 0, 000000071
Busca Binaria Recursiva, 1000, 0, 000000085
Busca Binaria Recursiva, 5000, 0, 000000102
Busca Binaria Iterativa, 10, 0, 000000052
Busca Binaria Iterativa, 100, 0, 000000105
Busca Binaria Iterativa, 1000, 0, 000000093
Busca Binaria Iterativa, 5000, 0, 000000100
